organism,seedid,kingdom,phylum,class,order,family,genus,oxygenstat,metabolism,gram,mtype,genes,reactions,metabolites,draftcreator,draftcreated,phenotype,imgid,ncbiid,platform,species,file,taxa_id,id,summary_rank,kbaseid
Raoultella planticola ATCC 33531,,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Raoultella,Facultative anaerobe,"Fermentative, respiratory",Negative,,1483,1918,1279,Laura Kutt,04/18/16,,2588253798,1005996,ModelSEED,planticola,Raoultella.json,575,Raoultella,genus,kb|g.242501
,,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Nocardiaceae,Rhodococcus,Aerobe,Saccharolytic,Positive,,,,,,,,,,,,Rhodococcus.json,,Rhodococcus,genus,
,,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Roseburia,Obligate anaerobe,"Saccharolytic, fermentative, acetate converted to butyrate",Negative,Commensal,,,,,,,,,ModelSEED,,Roseburia.json,,Roseburia,genus,kb|g.26995
Roseomonas mucosa ATCC BAA-692,,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Roseomonas,Facultative anaerobe,"Saccharolytic, non-fermentative",Negative,,1213,1572,1188,Laura Kutt,04/18/16,,,1448136,ModelSEED,mucosa,Roseomonas.json,207340,Roseomonas,genus,kb|g.242544
,,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Rothia,,,Positive,,,,,chenry,04/15/16,,,,Kbase,,Rothia.json,,Rothia,genus,
Rudanella lutea DSM 19387,Rudanella lutea DSM 19387 (1089547.3),Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Rudanella,Aerobe,"Respiratory, non fermentative",Negative,,960,1341,1106,,,,,1089547,Kbase,lutea,Rudanella.json,451374,Rudanella,genus,kb|g.29244
,,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminiclostridium,,,,,,,,,,,,,,,Ruminiclostridium.json,29355,Ruminiclostridium,genus,
,,Bacteria,Firmicutes,Clostridia,Clostridiales,,Ruminococcus,Obligate anaerobe,"Saccharolytic, fermentative",,,,,,,,,,,,,Ruminococcus.json,,Ruminococcus,genus,
Salmonella enterica enterica sv Typhimurium LT2,Salmonella enterica subsp. enterica serovar Typhimurium str. (946034.3),Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Salmonella,Facultative anaerobe,"Fermentative or respiratory, variety of carbon sources used",Negative,Pathogen,1241,2361,1474,Ines Thiele,08/07/12,1,637000255,1457319,Kbase,enterica,Salmonella.json,28901,Salmonella,genus,
Scardovia inopinata F0304,Scardovia inopinata F0304 (641146.3),Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Scardovia,Obligate anaerobe,"Saccharolytic, fermentative",Positive,Commensal,455,1051,847,chenry,04/15/16,,647533207,641146,Kbase,inopinata,Scardovia.json,78259,Scardovia,genus,kb|g.2728
Schlesneria paludicola DSM 18645,Schlesneria paludicola DSM 18645 (1123242.3),Bacteria,Planctomycetes,Planctomycetales,Planctomycetales,Planctomycetaceae,Schlesneria,Facultative anaerobe,"Saccharolytic, fermentative",Negative,,971,1440,1113,,,,,1123242,Kbase,paludicola,Schlesneria.json,360056,Schlesneria,genus,kb|g.24393
,,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Serratia,Facultative anaerobe,,Negative,,,,,Laura Kutt,04/18/16,,,,Kbase,,Serratia.json,,Serratia,genus,
,,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Shigella,Facultative anaerobe,"fermentative, respiratory",Negative,,,,,,,,,,Kbase,,Shigella.json,,Shigella,genus,
Silanimonas lenta DSM 16282,,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Silanimonas,Aerobe,Saccharolytic,Negative,Pathogen,613,1218,1011,Laura Kutt,04/19/16,,,1123253,Kbase,lenta,Silanimonas.json,265429,Silanimonas,genus,kb|g.207277
,,Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Slackia,Obligate anaerobe,"Asaccharolytic, nonfermentative",Positive,,,,,chenry,04/15/16,,,,,,Slackia.json,,Slackia,genus,
,,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Solobacterium,Obligate anaerobe,"Saccharolytic, fermentative",Positive,,,,,Laura Kutt,,,,,ModelSEED,moorei,Solobacterium.json,102148,Solobacterium,genus,
Sphingomonas paucimobilis HER1398,,Bacteria,Proteobacteria,Gammaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Anaerobe,Asaccharolytic,Negative,,755,1281,1045,,,,,1346330,ModelSEED,paucimobilis,Sphingomonas.json,13689,Sphingomonas,genus,kb|g.210585
Spirosoma linguale DSM 74,Spirosoma linguale DSM 74 (504472.7),Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Spirosoma,Aerobe,Saccharolytic,Negative,,1048,1475,1152,,,,,504472,ModelSEED,linguale,Spirosoma.json,108,Spirosoma,genus,kb|g.1845
,,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Facultative anaerobe,"Saccharolytic, respiratory or fermentative",Positive,,,,,Laura Kutt,,,,,,,Staphylococcus.json,,Staphylococcus,genus,
,Stenotrophomonas maltophilia D457 (1163399.5),Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,Obligate anaerobe,Asaccharolytic,Negative,,,,,Laura Kutt,04/19/16,,,,Kbase,,Stenotrophomonas.json,,Stenotrophomonas,genus,
Stoquefichus massiliensis AP9,,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Stoquefichus,,,,,787,1177,951,Laura Kutt,04/18/16,,2600255145,1211844,Kbase,massiliensis,Stoquefichus.json,1470350,Stoquefichus,genus,kb|g.208018
,,Bacteria,Firmicutes,,,,Streptococcus,,,,,,,,,,,,,,,Streptococcus.json,,Streptococcus,genus,
Subdoligranulum variabile DSM 15176,Subdoligranulum variabile DSM 15176 (411471.5),Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Subdoligranulum,Obligate anaerobe,"Saccharolytic, fermentative",Negative,Commensal,1313,1057,846,Ines Thiele,06/25/12,2,2562617078,411471,ModelSEED,variabile,Subdoligranulum.json,214851,Subdoligranulum,genus,
Succinatimonas hippei YIT 12066,Succinatimonas hippei YIT 12066 (762983.3),Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Succinatimonas,Obligate anaerobe,"Saccharolytic, fermentative",Negative,Commensal,622,1047,850,Ines Thiele,06/29/12,4,649990019,762983,Kbase,hippei,Succinatimonas.json,626938,Succinatimonas,genus,
Succinivibrio dextrinosolvens H5,,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Vibrionaceae,Succinivibrio,Facultative anaerobe,"Fermentative, respiratory",Negative,Pathogen,643,1130,943,Laura Kutt,04/19/16,,,1410676,Kbase,dextrinosolvens,Succinivibrio.json,83771,Succinivibrio,genus,kb|g.244674
Sulfolobus solfataricus P2,Sulfolobus solfataricus P2 (273057.1),Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Sulfolobus,Aerobe,"Saccharolytic, or requires sulphur",Negative,,529,1070,861,Laura Kutt,04/19/16,,638154518,273057,Kbase,solfataricus,Sulfolobus.json,2287,Sulfolobus,genus,kb|g.637
,,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,,Sutterella,,,Negative,,,,,,,,,,Kbase,,Sutterella.json,,Sutterella,genus,kb|g.27712
Tannerella forsythia ATCC 43037,Tannerella forsythia ATCC 43037 (203275.8),Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Tannerella,Obligate anaerobe,Asaccharolytic,Negative,,585,1053,864,chenry,04/15/16,,2512047036,28112,Kbase,forsythia,Tannerella.json,28112,Tannerella,genus,kb|g.26084
Tatumella ptyseos ATCC 33301,,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Tatumella,Facultative anaerobe,"Fermentative, respiratory",Negative,,876,1538,1106,Laura Kutt,04/18/16,,2671180926,1005995,ModelSEED,ptyseos,Tatumella.json,82987,Tatumella,genus,kb|g.206562
Clostridium glycolicum ATCC 14880 = DSM 1288,Clostridium glycolicum ATCC 14880 (1121315.3),Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Terrisporobacter,Obligate anaerobe,"Saccharolytic, fermentative",Positive,,986,1329,1012,Laura Kutt,04/18/16,,,1121315,ModelSEED,glycolicum,Terrisporobacter.json,,Terrisporobacter,genus,kb|g.207085
Trabulsiella guamensis ATCC 49490,,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Trabulsiella,Facultative anaerobe,"Fermentative, respiratory",Negative,,1130,1724,1176,Laura Kutt,04/18/16,,2588253800,1005994,ModelSEED,guamensis,Trabulsiella.json,158852,Trabulsiella,genus,kb|g.244739
Tropheryma whipplei str. Twist,Tropheryma whipplei str. Twist (203267.1),Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Tropheryma,Facultative anaerobe,Fermentative,Positive,Opportunistic pathogen,356,845,718,chenry,04/15/16,,637000331,203267,ModelSEED,whipplei,Tropheryma.json,2039,Tropheryma,genus,kb|g.338
Clostridium nexile DSM 1787,Clostridium nexile DSM 1787 (500632.7),Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Tyzzerella,Obligate anaerobe,"Saccharolytic, fermentative",Positive,Commensal,646,2135,1210,Ines Thiele,04/20/12,1,642979369,500632,ModelSEED,nexile,Tyzzerella.json,,Tyzzerella,genus,
,,Bacteria,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Ureaplasma,Facultative anaerobe,Utilize urea,Positive,,,,518,Laura Kutt,04/19/16,,,,Kbase,,Ureaplasma.json,,Ureaplasma,genus,
Ureibacillus thermosphaericus str. Thermo-BF,Ureibacillus thermosphaericus str. Thermo-BF (1160707.3),Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Ureibacillus,Aerobe,"Uses esculine, urea and malate as carbon source",Negative,,864,1296,1035,Laura Kutt,04/18/16,,2548876990,1160707,ModelSEED,thermosphaericus,Ureibacillus.json,51173,Ureibacillus,genus,kb|g.24961
Varibaculum cambriense DSM 15806,,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Varibaculum,Facultative anaerobe,"Saccharolytic, fermentative",Positive,Opportunistic pathogen,537,1011,832,chenry,04/15/16,,2524614732,1123488,ModelSEED,cambriense,Varibaculum.json,184870,Varibaculum,genus,kb|g.207318
,,Bacteria,Firmicutes,,,,Veillonella,Obligate anaerobe,,Negative,,,,,,,,,,,,Veillonella.json,,Veillonella,genus,
,,Bacteria,Proteobacteria,Gammaproteobacteria,,Vibrionaceae,Vibrio,,,,,,,,Laura Kutt,,,,,,,Vibrio.json,,Vibrio,genus,
Weissella paramesenteroides ATCC 33313,Weissella paramesenteroides ATCC 33313 (585506.3),Bacteria,Firmicutes,Bacilli,Lactobacillales,Leuconostocaceae,Weissella,Facultative anaerobe,"Saccharolytic, respiratory or fermentative",Positive,Commensal,561,1463,1026,Ines Thiele,06/25/12,3,645058793,585506,Kbase,paramesenteroides,Weissella.json,1249,Weissella,genus,
,,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Yersinia,,,,,,,,Laura Kutt,,,,,Kbase,,Yersinia.json,,Yersinia,genus,
Yokenella regensburgei ATCC 43003,Yokenella regensburgei ATCC 43003 (1002368.3),Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Yokenella,Facultative anaerobe,"Saccharolytic, fermentative or respiratory",Positive,,1338,2517,1587,Laura Kutt,04/18/16,,2534682241,1002368,Kbase,regensburgei,Yokenella.json,158877,Yokenella,genus,kb|g.23117
Burkholderiales bacterium 1_1_47,Burkholderiales bacterium 1_1_47 (469610.4),Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,unclassified Burkholderiales,unclassified Burkholderiales,Nanaerobe,Uncharacterized,Uncharacterized,Uncharacterized,577,951,797,Ines Thiele,06/29/12,1,648861006,469610,Kbase,,unclassified_Burkholderiales.json,119065,unclassified_Burkholderiales,genus,
,,Bacteria,Firmicutes,Clostridia,Clostridiales,unclassified Clostridiales,unclassified Clostridiales,Obligate anaerobe,,,,,,,Ines Thiele,,,,,,pectinophilus,unclassified_Clostridiales.json,,unclassified_Clostridiales,genus,
Enterobacteriaceae bacterium 9_2_54FAA,Enterobacteriaceae bacterium 9_2_54FAA (469613.3),Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,unclassified Enterobacteriaceae,Aerobe,Uncharacterized,Uncharacterized,Uncharacterized,1177,2209,1422,Ines Thiele,06/29/12,1,2562617162,469613,ModelSEED,,unclassified_Enterobacteriaceae.json,191675,unclassified_Enterobacteriaceae,genus,
,,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,unclassified Erysipelotrichaceae,Obligate anaerobe,,,,,,,Ines Thiele,,,,,,,unclassified_Erysipelotrichaceae.json,433334,unclassified_Erysipelotrichaceae,genus,
,,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,unclassified Lachnospiraceae,Obligate anaerobe,,,,,,,,,,,,Kbase,rectale,unclassified_Lachnospiraceae.json,,unclassified_Lachnospiraceae,genus,
Melainabacterium MEL.A1,,Bacteria,Cyanobacteria,Melainabacteria,unclassified Melainabacteria,unclassified Melainabacteria,unclassified Melainabacteria,Obligate anaerobe (inferred from sequence),"Saccharolytic, fermentative (inferred from sequence)",Negative (inferred from sequence),Commensal (inferred from sequence),406,904,726,Emilie Muller,05/11/13,,,,ModelSEED,MEL.A1,unclassified_Melainabacteria.json,,unclassified_Melainabacteria,genus,
Clostridium hiranonis TO-931 DSM 13275,Clostridium hiranonis DSM 13275 (500633.7),Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,unclassified Peptostreptococcaceae,Obligate anaerobe,"Saccharolytic, fermentative",Positive,Commensal,574,1258,1011,Ines Thiele,08/06/12,3,642979371,89152,Kbase,hiranonis,unclassified_Peptostreptococcaceae.json,,unclassified_Peptostreptococcaceae,genus,
Ruminococcaceae bacterium D16,Ruminococcaceae bacterium D16 (552398.3),Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,unclassified Ruminococcaceae,Obligate anaerobe,Uncharacterized,Uncharacterized,Uncharacterized,652,1643,1197,Ines Thiele,06/29/12,2,2562617183,552398,Kbase,,unclassified_Ruminococcaceae.json,552397,unclassified_Ruminococcaceae,genus,
Saccharomyces cerevisiae,,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Saccharomyces_yjm1526_gca_000978165.Sc_YJM1526_v1,,,,,,,,,,,,4932,,,Saccharomyces_cerevisiae_yjm1526_gca_000978165.Sc_YJM1526_v1.json,,,,
Fusarium sporotrichioides,,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium_NRRL_3299_GCA_003012315.1,,,,,,,,,,,,5514,,,Fusarium_sporotrichioides_NRRL_3299_GCA_003012315.1.json,,,,
Rhodotorula toruloides,,Fungi,Basidiomycota,Microbotryomycetes,Sporidiobolales,Sporidiobolaceae,Rhodotorula_NBRC10032_GCA_007990605.1,,,,,,,,,,,,5286,,,Rhodotorula_toruloides_NBRC10032_GCA_007990605.1.json,,,,
Malassezia restricta,,Fungi,Basidiomycota,Malasseziomycetes,Malasseziales,Malasseziaceae,Malassezia_CBS_7877_GCA_003691605.1,,,,,,,,,,,,76775,,,Malassezia_restricta_CBS_7877_GCA_003691605.1.json,,,,
Colletotrichum graminicola,,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum_M1.001_GCF_000149035.1,,,,,,,,,,,,31870,,,Colletotrichum_graminicola_M1.001_GCF_000149035.1.json,,,,
Aspergillus tamarii,,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus_CBS_117626_GCA_009193485.1,,,,,,,,,,,,41984,,,Aspergillus_tamarii_CBS_117626_GCA_009193485.1.json,,,,
Alternaria sp.,,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria_MG1_GCA_003574525.1,,,,,,,,,,,,1715220,,,Alternaria_sp._MG1_GCA_003574525.1.json,,,,
Fusarium langsethiae,,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium_gca_001292635.ASM129263v1,,,,,,,,,,,,179993,,,Fusarium_langsethiae_gca_001292635.ASM129263v1.json,,,,
Saccharomyces cerevisiae,,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Saccharomyces_yjm683_gca_000976305.Sc_YJM683_v1,,,,,,,,,,,,4932,,,Saccharomyces_cerevisiae_yjm683_gca_000976305.Sc_YJM683_v1.json,,,,
Aspergillus campestris,,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus_IBT_28561_GCF_002847485.1,,,,,,,,,,,,41068,,,Aspergillus_campestris_IBT_28561_GCF_002847485.1.json,,,,
Eremothecium cymbalariae,,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Eremothecium_DBVPG#7215_GCF_000235365.1,,,,,,,,,,,,45285,,,Eremothecium_cymbalariae_DBVPG#7215_GCF_000235365.1.json,,,,
Aspergillus awamori,,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus_IFM_58123_GCA_003850985.1,,,,,,,,,,,,105351,,,Aspergillus_awamori_IFM_58123_GCA_003850985.1.json,,,,
Rhizopus delemar,,Fungi,Mucoromycota,Mucoromycetes,Mucorales,Rhizopodaceae,Rhizopus_ra_99_880_gca_000149305.RO3,,,,,,,,,,,,936053,,,Rhizopus_delemar_ra_99_880_gca_000149305.RO3.json,,,,
Fusarium oxysporum,,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium_f_sp_radicis_lycopersici_26381_gca_000260155.FO_CL57_V1,,,,,,,,,,,,5507,,,Fusarium_oxysporum_f_sp_radicis_lycopersici_26381_gca_000260155.FO_CL57_V1.json,,,,
Clavispora lusitaniae,,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Metschnikowiaceae,Clavispora_P4_GCA_009498135.1,,,,,,,,,,,,36911,,,Clavispora_lusitaniae_P4_GCA_009498135.1.json,,,,
Saccharomyces cerevisiae,,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Saccharomyces_yjm1332_gca_000977145.Sc_YJM1332_v1,,,,,,,,,,,,4932,,,Saccharomyces_cerevisiae_yjm1332_gca_000977145.Sc_YJM1332_v1.json,,,,
Wickerhamomyces ciferrii,,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Phaffomycetaceae,Wickerhamomyces_NRRL_Y,,,,,,,,,,,,1041607,,,Wickerhamomyces_ciferrii_NRRL_Y.json,,,,
Hyphopichia burtonii,,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Hyphopichia_nrrl_y_1933_gca_001661395.Hypbu1,,,,,,,,,,,,717740,,,Hyphopichia_burtonii_nrrl_y_1933_gca_001661395.Hypbu1.json,,,,
Penicillium camemberti,,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium_fm_013_gca_000513335.PCAMFM013_20131106,,,,,,,,,,,,5075,,,Penicillium_camemberti_fm_013_gca_000513335.PCAMFM013_20131106.json,,,,
Colletotrichum chlorophyti,,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum_gca_001937105.ASM193710v1,,,,,,,,,,,,708187,,,Colletotrichum_chlorophyti_gca_001937105.ASM193710v1.json,,,,
Aspergillus fumigatus,,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus_z5_gca_001029325.ASM102932v1,,,,,,,,,,,,746128,,,Aspergillus_fumigatus_z5_gca_001029325.ASM102932v1.json,,,,
Aspergillus niger,,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus_CBS_101883_GCF_003184595.1,,,,,,,,,,,,5061,,,Aspergillus_niger_CBS_101883_GCF_003184595.1.json,,,,
Aspergillus niger,,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus_atcc_1015_gca_000230395.ASPNI_v3.0,,,,,,,,,,,,5061,,,Aspergillus_niger_atcc_1015_gca_000230395.ASPNI_v3.0.json,,,,
Penicillium chrysogenum,,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium_gca_000710275.ASM71027v1,,,,,,,,,,,,5076,,,Penicillium_chrysogenum_gca_000710275.ASM71027v1.json,,,,
Cutaneotrichosporon oleaginosum,,Fungi,Basidiomycota,Tremellomycetes,Trichosporonales,Trichosporonaceae,Cutaneotrichosporon_IBC0246_GCF_001027345.1,,,,,,,,,,,,879819,,,Cutaneotrichosporon_oleaginosum_IBC0246_GCF_001027345.1.json,,,,
Saccharomyces cerevisiae,,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Saccharomyces_yjm1355_gca_000977295.Sc_YJM1355_v1,,,,,,,,,,,,4932,,,Saccharomyces_cerevisiae_yjm1355_gca_000977295.Sc_YJM1355_v1.json,,,,
Saccharomyces cerevisiae,,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Saccharomyces_vin13_gca_000190215.ScVIN13_v01,,,,,,,,,,,,4932,,,Saccharomyces_cerevisiae_vin13_gca_000190215.ScVIN13_v01.json,,,,
Aspergillus fijiensis,,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus_CBS_313.89_GCA_003184825.1,,,,,,,,,,,,1191702,,,Aspergillus_fijiensis_CBS_313.89_GCA_003184825.1.json,,,,
Aspergillus flavus,,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus_NRRL3357_GCF_000006275.2,,,,,,,,,,,,5059,,,Aspergillus_flavus_NRRL3357_GCF_000006275.2.json,,,,
Aspergillus flavus,,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus_af70_gca_000952835.ASM95283v1,,,,,,,,,,,,5059,,,Aspergillus_flavus_af70_gca_000952835.ASM95283v1.json,,,,
Aspergillus niger,,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus_ATCC_13496_GCA_003344705.1,,,,,,,,,,,,5061,,,Aspergillus_niger_ATCC_13496_GCA_003344705.1.json,,,,
Alternaria alternata,,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria_FERA_1177_GCA_004154755.1,,,,,,,,,,,,5599,,,Alternaria_alternata_FERA_1177_GCA_004154755.1.json,,,,
Talaromyces stipitatus,,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Talaromyces_ATCC_10500_GCF_000003125.1,,,,,,,,,,,,28564,,,Talaromyces_stipitatus_ATCC_10500_GCF_000003125.1.json,,,,
Penicillium roqueforti,,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium_fm164_gca_000513255.PROQFM164_20130607,,,,,,,,,,,,5082,,,Penicillium_roqueforti_fm164_gca_000513255.PROQFM164_20130607.json,,,,
Aspergillus homomorphus,,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus_CBS_101889_GCA_003184865.1,,,,,,,,,,,,319626,,,Aspergillus_homomorphus_CBS_101889_GCA_003184865.1.json,,,,
Aspergillus terreus,,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus_NIH2624_GCF_000149615.1,,,,,,,,,,,,33178,,,Aspergillus_terreus_NIH2624_GCF_000149615.1.json,,,,
Rhizopus azygosporus,,Fungi,Mucoromycota,Mucoromycetes,Mucorales,Rhizopodaceae,Rhizopus_CBS_357.93_GCA_003325435.1,,,,,,,,,,,,86630,,,Rhizopus_azygosporus_CBS_357.93_GCA_003325435.1.json,,,,
Colletotrichum sublineola,,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum_gca_000696135.ASM69613v1,,,,,,,,,,,,1173701,,,Colletotrichum_sublineola_gca_000696135.ASM69613v1.json,,,,
Penicillium italicum,,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium_gca_000769765.ASM76976v1,,,,,,,,,,,,40296,,,Penicillium_italicum_gca_000769765.ASM76976v1.json,,,,
Aureobasidium subglaciale,,Fungi,Ascomycota,Dothideomycetes,Dothideales,Saccotheciaceae,Aureobasidium_EXF,,,,,,,,,,,,1042127,,,Aureobasidium_subglaciale_EXF.json,,,,
Aspergillus avenaceus,,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus_IBT_18842_GCA_009193465.1,,,,,,,,,,,,36643,,,Aspergillus_avenaceus_IBT_18842_GCA_009193465.1.json,,,,
Rhizopus microsporus,,Fungi,Mucoromycota,Mucoromycetes,Mucorales,Rhizopodaceae,Rhizopus_gca_002083735.Rhimi_ATCC11559_1,,,,,,,,,,,,58291,,,Rhizopus_microsporus_gca_002083735.Rhimi_ATCC11559_1.json,,,,
Aspergillus caelatus,,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus_CBS_763.97_GCA_009193585.1,,,,,,,,,,,,61420,,,Aspergillus_caelatus_CBS_763.97_GCA_009193585.1.json,,,,
Trichoderma citrinoviride,,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,Trichoderma_gca_003025115.Trici_v4.0,,,,,,,,,,,,58853,,,Trichoderma_citrinoviride_gca_003025115.Trici_v4.0.json,,,,
Saccharomyces cerevisiae,,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Saccharomyces_yjm1450_gca_000977985.Sc_YJM1450_v1,,,,,,,,,,,,4932,,,Saccharomyces_cerevisiae_yjm1450_gca_000977985.Sc_YJM1450_v1.json,,,,
Rhodotorula diobovata,,Fungi,Basidiomycota,Microbotryomycetes,Sporidiobolales,Sporidiobolaceae,Rhodotorula_UCD,,,,,,,,,,,,5288,,,Rhodotorula_diobovata_UCD.json,,,,
Colletotrichum salicis,,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum_gca_001563125.CSAL01,,,,,,,,,,,,1209931,,,Colletotrichum_salicis_gca_001563125.CSAL01.json,,,,
Aspergillus turcosus,,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus_HMR_AF_23_GCA_002234965.2,,,,,,,,,,,,1245748,,,Aspergillus_turcosus_HMR_AF_23_GCA_002234965.2.json,,,,
Fusarium oxysporum,,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium_f._sp._cepae_FoC_A23_GCA_003615075.1,,,,,,,,,,,,5507,,,Fusarium_oxysporum_f._sp._cepae_FoC_A23_GCA_003615075.1.json,,,,
